date,Room Number,T_Occupancy,T_time,Camera1,Camera2,Camera3
30-03-2022,M1 Room,1,9:44:35,0,1,0
30-03-2022,M1 Room,3,9:44:43,2,0,1
30-03-2022,M1 Room,3,9:44:48,2,1,0
30-03-2022,M1 Room,0,9:44:51,0,0,0
30-03-2022,M1 Room,2,9:45:07,1,1,0
30-03-2022,M1 Room,4,9:45:12,2,0,2
30-03-2022,M1 Room,1,9:45:16,0,1,0
30-03-2022,M1 Room,1,9:45:24,0,1,0
30-03-2022,M1 Room,0,9:45:28,0,0,0
30-03-2022,M1 Room,1,9:45:31,0,1,0
30-03-2022,M1 Room,4,9:45:33,1,1,2
30-03-2022,M1 Room,1,9:45:35,0,1,0
30-03-2022,M1 Room,5,9:45:36,2,1,2
30-03-2022,M1 Room,1,9:45:44,0,1,0
30-03-2022,M1 Room,3,9:45:47,1,1,1
30-03-2022,M1 Room,1,9:45:47,0,1,0
30-03-2022,M1 Room,1,9:45:49,0,1,0
30-03-2022,M1 Room,0,9:45:55,0,0,0
30-03-2022,M1 Room,3,9:46:54,0,1,2
30-03-2022,M1 Room,3,9:47:01,0,1,2
30-03-2022,M1 Room,2,9:47:03,0,1,1
30-03-2022,M1 Room,5,9:50:18,2,1,2
30-03-2022,M1 Room,5,9:50:54,3,0,2
30-03-2022,M1 Room,6,9:52:17,4,0,2
30-03-2022,M1 Room,3,9:52:25,2,1,0
30-03-2022,M1 Room,1,10:08:23,0,1,0
30-03-2022,M1 Room,1,10:08:25,1,0,0
30-03-2022,M1 Room,1,10:11:51,0,1,0
30-03-2022,M1 Room,0,10:11:56,0,0,0
30-03-2022,M1 Room,1,10:37:39,0,1,0
30-03-2022,M1 Room,0,10:37:44,0,0,0
30-03-2022,M1 Room,3,11:11:53,1,2,0
30-03-2022,M1 Room,1,11:12:03,0,1,0
30-03-2022,M1 Room,1,11:12:22,1,0,0
30-03-2022,M1 Room,1,11:23:11,0,1,0
30-03-2022,M1 Room,0,11:23:14,0,0,0
30-03-2022,M1 Room,1,11:23:18,0,1,0
30-03-2022,M1 Room,1,11:23:28,1,0,0
30-03-2022,M1 Room,1,11:28:41,0,1,0
30-03-2022,M1 Room,6,11:28:42,1,4,1
30-03-2022,M1 Room,1,11:28:47,0,1,0
30-03-2022,M1 Room,1,11:28:59,0,1,0
30-03-2022,M1 Room,5,11:29:03,2,2,1
30-03-2022,M1 Room,1,11:32:42,0,1,0
30-03-2022,M1 Room,1,11:32:56,0,1,0
30-03-2022,M1 Room,1,11:33:09,0,1,0
30-03-2022,M1 Room,3,11:33:16,0,2,1
30-03-2022,M1 Room,2,11:44:50,0,2,0
30-03-2022,M1 Room,3,11:44:56,0,2,1
30-03-2022,M1 Room,2,11:46:36,0,2,0
30-03-2022,M1 Room,2,11:47:01,1,1,0
30-03-2022,M1 Room,4,11:51:12,2,2,0
30-03-2022,M1 Room,4,11:51:18,2,2,0
30-03-2022,M1 Room,5,11:51:48,0,3,2
30-03-2022,M1 Room,3,11:52:54,1,2,0
30-03-2022,M1 Room,3,11:52:58,0,2,1
30-03-2022,M1 Room,3,11:53:03,1,2,0
30-03-2022,M1 Room,2,11:53:07,1,1,0
30-03-2022,M1 Room,1,12:10:59,0,1,0
30-03-2022,M1 Room,1,12:11:30,0,1,0
30-03-2022,M1 Room,1,12:13:55,0,1,0
30-03-2022,M1 Room,0,12:14:01,0,0,0
30-03-2022,M1 Room,1,12:29:34,0,1,0
30-03-2022,M1 Room,1,12:29:43,0,1,0
30-03-2022,M1 Room,3,12:29:44,2,0,1
30-03-2022,M1 Room,1,12:30:10,0,1,0
30-03-2022,M1 Room,0,12:30:14,0,0,0
30-03-2022,M1 Room,1,12:30:41,0,1,0
30-03-2022,M1 Room,3,12:30:43,2,1,0
30-03-2022,M1 Room,1,12:31:02,0,1,0
30-03-2022,M1 Room,2,12:31:05,0,2,0
30-03-2022,M1 Room,1,12:31:08,0,1,0
30-03-2022,M1 Room,2,12:31:10,1,1,0
30-03-2022,M1 Room,1,12:31:20,0,1,0
30-03-2022,M1 Room,1,12:31:39,0,1,0
30-03-2022,M1 Room,1,12:31:53,0,1,0
30-03-2022,M1 Room,0,12:32:05,0,0,0
30-03-2022,M1 Room,1,12:41:30,0,1,0
30-03-2022,M1 Room,2,12:42:02,1,1,0
30-03-2022,M1 Room,1,13:02:21,0,1,0
30-03-2022,M1 Room,4,13:02:22,2,0,2
30-03-2022,M1 Room,5,14:38:17,3,0,2
30-03-2022,M1 Room,3,14:38:55,0,3,0
30-03-2022,M1 Room,1,14:39:16,0,1,0
